type,keyword,count
word,data,3
word,experience,3
word,include,2
word,seeking,1
word,junior,1
word,analyst,1
word,support,1
word,business,1
word,technology,1
word,teams,1
word,ideal,1
word,candidate,1
word,have,1
word,python,1
word,sql,1
word,excel,1
word,analysis,1
word,reporting,1
word,responsibilities,1
word,cleaning,1
word,analyzing,1
word,datasets,1
word,creating,1
word,dashboards,1
word,communicating,1
word,insights,1
word,stakeholders,1
word,preferred,1
word,qualifications,1
word,tableau,1
word,power,1
word,basic,1
word,statistics,1
word,familiarity,1
word,visualization,1
word,techniques,1
word,knowledge,1
word,project,1
word,management,1
word,concepts,1
word,strong,1
word,communication,1
word,skills,1
word,attention,1
word,detail,1
word,required,1
word,git,1
word,linux,1
word,cloud,1
word,platforms,1
word,such,1
word,aws,1
word,azure,1
word,plus,1
skill_phrase,python,1
skill_phrase,sql,1
skill_phrase,excel,1
skill_phrase,tableau,1
skill_phrase,power bi,1
skill_phrase,data analysis,1
skill_phrase,data analytics,0
skill_phrase,machine learning,0
skill_phrase,statistics,1
skill_phrase,communication,1
skill_phrase,project management,1
skill_phrase,pandas,0
skill_phrase,numpy,0
skill_phrase,scikit-learn,0
skill_phrase,visualization,1
skill_phrase,dashboards,1
skill_phrase,etl,0
skill_phrase,aws,1
skill_phrase,azure,1
skill_phrase,git,1
skill_phrase,linux,1
skill_phrase,cybersecurity,0
